Year of Study:,Gender:,Age:,CGPA (Optional):,How many hours do you spend on studying per week?,How many credits are you currently enrolled in?,"Do you participate in extracurricular activities?  (Clubbing, Volunteering, etc.)","If yes, how many hours per week do you spend on extracurricular activities?  (Leave it blank if you do not participate)",Do you have a part-time job? ,"If yes, how many hours per week? 
(Leave it blank if you do not participate)","On a scale of 1-5, how would you rate your stress level this semester?","On a scale of 1-5, how would you rate your anxiety level?","On average, how many hours of sleep do you get per night?","On a scale of 1-10, how would you rate your overall sleep quality?"
3,1,24,4.0,6,12.0,0,0.0,1,30.0,3,2,4.0,4
1,1,20,3.6799999999999997,28,12.0,0,0.0,0,0.0,5,5,2.0,1
3,1,23,3.95,10,20.0,1,1.0,0,0.0,3,3,4.0,2
1,0,20,3.6799999999999997,2,9.0,0,0.0,1,10.0,4,4,4.0,4
4,0,24,3.81,2,12.0,1,1.0,1,8.0,5,5,4.0,2
2,1,22,3.33,12,12.5,0,2.0,0,0.0,4,3,6.0,5
3,1,22,3.55,2,12.0,1,1.0,1,30.0,5,3,8.0,8
3,1,22,3.9,5,15.0,1,6.0,0,0.0,4,4,7.0,3
3,0,23,3.6799999999999997,14,12.0,0,0.0,0,0.0,5,5,6.0,6
1,1,22,3.6799999999999997,20,9.0,1,10.0,0,0.0,5,5,5.0,6
2,1,21,3.69,2,11.5,0,0.0,1,12.0,5,5,5.0,5
3,1,23,3.83,7,11.5,0,0.0,0,0.0,5,5,4.0,3
3,1,25,3.64,25,16.0,0,0.0,1,8.0,5,4,6.0,8
2,1,22,3.6799999999999997,7,12.0,1,0.0,0,0.0,5,3,6.0,7
2,1,22,3.33,6,11.0,0,0.0,1,4.0,2,2,5.0,8
3,1,23,3.2,10,11.0,1,0.0,1,0.0,4,4,6.0,8
2,1,22,3.6799999999999997,6,11.0,1,4.0,1,8.0,4,5,6.0,4
2,0,23,3.64,12,12.0,0,0.0,1,18.0,4,5,4.0,3
3,1,23,3.1,5,12.0,1,1.0,0,0.0,5,5,4.0,3
2,1,21,3.42,20,15.0,0,0.0,0,0.0,5,4,5.0,6
3,1,23,3.95,16,19.0,0,0.0,0,0.0,3,2,6.5,6
4,1,23,3.6799999999999997,4,15.0,1,2.0,0,0.0,3,4,6.0,4
3,1,22,3.6799999999999997,18,15.0,0,0.0,0,0.0,3,3,4.5,4
2,0,22,3.83,5,19.0,1,1.0,0,0.0,5,5,3.0,2
3,1,22,3.6799999999999997,13,11.5,0,0.0,1,3.0,3,3,7.0,10
3,1,21,3.3,4,14.0,0,2.0,1,4.0,2,2,3.0,1
3,1,25,4.0,12,15.0,0,0.0,1,30.0,5,2,6.0,3
3,1,22,3.89,5,14.5,0,0.0,1,30.0,4,4,5.0,5
2,1,21,3.6799999999999997,20,9.5,0,0.0,0,0.0,5,5,8.0,8
2,1,23,2.86,4,12.0,0,0.0,0,0.0,3,2,6.0,5
2,1,21,3.96,10,10.0,1,2.0,0,0.0,3,1,8.0,9
3,1,23,3.92,21,12.0,0,0.0,0,0.0,3,1,6.0,7
3,1,21,3.67,2,15.0,0,0.0,0,0.0,3,1,8.0,6
3,0,22,3.6799999999999997,14,15.0,0,0.0,1,35.0,4,4,4.0,5
4,1,25,3.25,3,12.0,1,3.0,0,0.0,2,2,9.0,6
1,1,22,3.0,14,6.0,1,10.0,0,0.0,3,5,7.0,6
3,0,23,3.6799999999999997,7,12.0,1,0.0,0,0.0,5,5,5.0,5
1,0,19,3.6799999999999997,7,9.0,0,0.0,1,10.0,4,4,7.0,6
3,0,22,3.99,15,12.0,0,0.0,0,0.0,4,4,5.0,5
2,0,23,3.82,12,12.0,1,0.0,1,60.0,5,3,6.0,3
2,1,23,3.63,4,12.0,1,0.0,0,0.0,5,4,6.0,5
2,1,22,3.6799999999999997,10,11.0,1,0.0,0,0.0,5,5,5.0,4
1,1,23,3.0,30,12.0,1,5.0,0,0.0,4,3,7.0,7
1,1,21,3.75,30,12.0,0,0.0,0,0.0,4,4,6.5,7
3,1,21,3.76,1,14.5,0,0.0,1,20.0,4,4,4.0,5
1,0,20,3.6799999999999997,20,6.0,0,0.0,0,0.0,3,3,8.0,7
1,1,22,2.6,21,6.0,0,0.0,0,0.0,3,2,6.0,2
3,1,22,3.6799999999999997,20,15.0,0,0.0,0,0.0,3,3,4.0,3
2,1,24,3.6799999999999997,5,12.0,1,1.0,1,15.0,4,4,5.0,6
1,0,21,3.6799999999999997,24,11.0,1,2.0,0,0.0,4,4,5.0,5
1,1,21,0.75,12,9.0,0,0.0,0,0.0,3,3,7.0,6
1,0,22,3.85,21,10.5,0,0.0,0,0.0,4,5,6.0,6
3,1,23,3.81,0,12.0,0,0.0,0,0.0,2,3,7.0,7
2,1,22,3.6799999999999997,25,12.0,1,5.0,1,14.0,3,3,4.0,3
3,1,22,3.47,3,12.0,0,0.0,0,0.0,4,4,6.0,7
1,0,21,3.6799999999999997,10,12.0,0,0.0,0,0.0,4,4,5.0,6
3,0,23,3.74,15,12.0,0,0.0,0,0.0,4,5,7.0,7
2,1,22,3.6799999999999997,20,12.0,0,0.0,0,0.0,4,4,4.0,4
3,1,24,3.0,11,12.0,1,0.0,1,12.0,3,2,6.0,7
3,1,23,3.6799999999999997,6,11.0,0,0.0,0,0.0,5,5,2.0,2
